city,customer_name,customer_segment,discount,number_of_records,order_date,order_id,order_priority,order_quantity,product_base_margin,product_category,product_container,product_name,product_sub_category,profit,region,row_id,sales,ship_date,ship_mode,shipping_cost,state,unit_price,zip_code
Wellesley,Brad Thomas,Home Office,0,1,2012-05-14,36609,Not Specified,8,0.38,Office Supplies,Small Box,Xerox 1952,Paper,-23.29,East,5134,45.73,2012-05-16,Regular Air,5.49,MA,4.98,2457
Glendale,Benjamin Farhat,Home Office,0.07,1,2012-05-14,8132,Low,45,0.37,Office Supplies,Small Box,Xerox 1898,Paper,-141.12,West,1108,294.86,2012-05-21,Regular Air,6.92,Arizona,6.68,85301
Wilkinsburg,Dennis Bolton,Small Business,0.02,1,2012-05-15,6656,Critical,45,0.37,Office Supplies,Small Box,Ibico Recycled Linen-Style Covers,Binders and Binder Accessories,508.963,East,921,1802,2012-05-15,Regular Air,10.55,Pennsylvania,39.06,15221
Helena,Adam Bellavance,Small Business,0.05,1,2012-05-15,41793,High,48,0.49,Furniture,Small Box,DAX Natural Wood-Tone Poster Frame,Office Furnishings,384.38,West,5890,1286.87,2012-05-16,Regular Air,6.93,Montana,26.48,59601
Wilkinsburg,Dennis Bolton,Small Business,0.1,1,2012-05-15,6656,Critical,50,0.35,Office Supplies,Small Box,Vinyl Sectional Post Binders,Binders and Binder Accessories,805.4345,East,922,1832.22,2012-05-16,Regular Air,2.99,Pennsylvania,37.7,15221
Holladay,Larry Tron,Corporate,0.01,1,2012-05-15,18496,High,30,0.64,Technology,Small Box,Belkin ErgoBoard™ Keyboard,Computer Peripherals,46.29,West,2554,991.01,2012-05-16,Regular Air,6.5,Utah,30.98,84117
Seattle,Brendan Sweed,Consumer,0.08,1,2012-05-15,8353,Medium,16,0.58,Office Supplies,Wrap Bag,Newell 343,Pens & Art Supplies,-2.12,West,1147,46.4,2012-05-17,Regular Air,0.96,Washington,2.94,98115
Garden City,Sonia Sunley,Corporate,0.02,1,2012-05-15,10048,Not Specified,21,0.83,Office Supplies,Wrap Bag,"*Staples* vLetter Openers, 2/Pack","Scissors, Rulers and Trimmers",-20.65,Central,1382,78.57,2012-05-17,Regular Air,1.32,Kansas,3.68,67846
Seattle,Brendan Sweed,Consumer,0.06,1,2012-05-15,8353,Medium,34,0.74,Technology,Small Pack,"Imation 3.5 IBM Formatted Diskettes, 10/Box",Computer Peripherals,-36.63,West,1146,286.9,2012-05-17,Regular Air,2.38,Washington,8.32,98115
Holladay,Larry Tron,Corporate,0.01,1,2012-05-15,18496,High,29,0.36,Office Supplies,Small Box,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Paper,177.79,West,2555,1267.42,2012-05-18,Regular Air,19.99,Utah,40.99,84117
Garden City,Sonia Sunley,Corporate,0.08,1,2012-05-15,10048,Not Specified,46,0.77,Technology,Small Box,Keytronic 105-Key Spanish Keyboard,Computer Peripherals,97.16,Central,1381,3197.45,2012-05-18,Regular Air,4,Kansas,73.98,67846
Saint Louis,Christine Sundaresam,Small Business,0.07,1,2012-05-16,24358,Critical,27,0.8,Office Supplies,Large Box,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Storage & Organization,-207.28,Central,3411,7333.45,2012-05-16,Regular Air,35,MO,279.48,63116
Yuba City,Denny Ordway,Small Business,0,1,2012-05-16,21286,Critical,17,0.52,Office Supplies,Medium Box,Holmes Odor Grabber,Appliances,9.33,West,2937,280.39,2012-05-17,Express Air,6.75,California,14.42,95991
Davis,Paul Lucas,Corporate,0.09,1,2012-05-16,263,High,25,0.37,Office Supplies,Small Box,3M Organizer Strips,Binders and Binder Accessories,-136.252,West,46,136.77,2012-05-17,Regular Air,7.78,California,5.4,95616
Calexico,Victoria Pisteka,Corporate,0.03,1,2012-05-16,13218,High,18,0.38,Office Supplies,Small Box,Lock-Up Easel 'Spel-Binder',Binders and Binder Accessories,198.9425,West,1838,513.08,2012-05-17,Regular Air,1.49,California,28.53,92231
Calexico,Victoria Pisteka,Corporate,0.07,1,2012-05-16,13218,High,16,0.36,Office Supplies,Small Box,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Paper,-62,West,1839,98.8,2012-05-18,Regular Air,7.15,California,5.98,92231
Fruit Cove,Roy Skaria,Corporate,0.06,1,2012-05-17,3553,Medium,7,0.58,Office Supplies,Wrap Bag,Newell 343,Pens & Art Supplies,-4.04,South,516,20.5,2012-05-18,Regular Air,0.96,Florida,2.94,32259
Terrytown,Aleksandra Gannaway,Home Office,0.09,1,2012-05-17,36131,High,26,0.36,Office Supplies,Small Box,Xerox 1897,Paper,-83.42,South,5070,130.97,2012-05-18,Regular Air,6.07,Louisiana,4.98,70056
Vallejo,Aleksandra Gannaway,Home Office,0.07,1,2012-05-17,36131,High,26,0.44,Office Supplies,Wrap Bag,Prismacolor Color Pencil Set,Pens & Art Supplies,120.18,West,5071,493.43,2012-05-18,Regular Air,4.1,California,19.84,94591
Terrytown,Aleksandra Gannaway,Home Office,0.07,1,2012-05-17,36131,High,43,0.35,Office Supplies,Wrap Bag,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Paper,151.27,South,5069,354.96,2012-05-19,Regular Air,1.43,Louisiana,8.34,70056
Murray,Stefania Perrino,Corporate,0.04,1,2012-05-17,59779,Low,30,0.69,Furniture,Jumbo Drum,Hon Comfortask® Task/Swivel Chairs,Chairs & Chairmats,87.88,South,8364,3575.23,2012-05-24,Delivery Truck,30,Kentucky,113.98,42071
Normal,Sylvia Foulston,Corporate,0.02,1,2012-05-18,59207,Critical,42,0.78,Furniture,Jumbo Box,Global Adaptabilities™ Conference Tables,Tables,-945.558,Central,8290,9502.736,2012-05-18,Delivery Truck,81.98,Illinois,280.98,61761
Gulfport,Jack O'Briant,Small Business,0.04,1,2012-05-18,58147,High,41,0.58,Office Supplies,Small Box,Staples Surge Protector 6 outlet,Appliances,24.09,South,8135,470.74,2012-05-18,Regular Air,3.99,Mississippi,10.98,39503
Norwood,Brendan Murry,Corporate,0.09,1,2012-05-18,38341,Medium,38,0.57,Technology,Wrap Bag,Accessory25,Telephones and Communication,122.292,East,5393,623.1265,2012-05-18,Regular Air,0.99,MA,20.99,2062
Sanford,Brendan Murry,Corporate,0.1,1,2012-05-18,38341,Medium,15,0.4,Office Supplies,Small Box,Cardinal Poly Pocket Divider Pockets for Ring Binders,Binders and Binder Accessories,-67.0565,East,5394,62.62,2012-05-19,Express Air,6.27,Maine,3.36,4073
Columbia,Roy Collins,Corporate,0.09,1,2012-05-18,59207,Critical,3,0.39,Office Supplies,Wrap Bag,Staples Gold Paper Clips,Rubber Bands,-4.07,South,8289,10.12,2012-05-19,Regular Air,1.58,Tennessee,2.98,38401
South Portland,Brendan Murry,Corporate,0.07,1,2012-05-18,38341,Medium,5,0.38,Office Supplies,Small Box,Xerox 1933,Paper,-7.94,East,5395,64.25,2012-05-20,Regular Air,4.86,Maine,12.28,4106
San Antonio,Arthur Wiediger,Corporate,0,1,2012-05-18,20614,Not Specified,47,0.67,Technology,Small Box,Keytronic 105-Key Spanish Keyboard,Computer Peripherals,326.25,Central,2858,3596.36,2012-05-20,Express Air,12.14,Texas,73.98,78207
Eureka,Tony Molinari,Corporate,0.04,1,2012-05-19,8930,Medium,14,0.4,Office Supplies,Small Box,Hammermill Color Copier Paper (28Lb. and 96 Bright),Paper,-92.32,West,1214,145.86,2012-05-21,Regular Air,11.59,California,9.99,95501
Westford,Karen Ferguson,Home Office,0.07,1,2012-05-19,55909,Low,3,0.39,Office Supplies,Small Box,Ibico EB-19 Dual Function Manual Binding System,Binders and Binder Accessories,-93.8285,East,7822,526.76,2012-05-23,Regular Air,19.99,MA,172.99,1886
Paterson,Karen Ferguson,Home Office,0.03,1,2012-05-19,55909,Low,2,0.57,Office Supplies,Small Box,"Fellowes Personal Hanging Folder Files, Navy",Storage & Organization,-20.57,East,7821,32.6,2012-05-26,Regular Air,5.5,New Jersey,13.43,7501
Lancaster,Duane Huffman,Small Business,0.09,1,2012-05-20,20261,Medium,25,0.37,Office Supplies,Small Box,GBC Wire Binding Strips,Binders and Binder Accessories,67.1075,Central,2807,751.52,2012-05-20,Express Air,12.62,Texas,31.74,75146
Union City,Elizabeth Moffitt,Consumer,0.04,1,2012-05-20,20903,High,4,0.62,Furniture,Jumbo Box,"Bush Westfield Collection Bookcases, Fully Assembled",Bookcases,-152.76,East,2897,442.99,2012-05-21,Delivery Truck,35.84,New Jersey,100.98,7086
Dearborn Heights,Kristina Nunn,Consumer,0.09,1,2012-05-20,5698,Medium,15,0.58,Office Supplies,Small Box,Kensington 6 Outlet Guardian Standard Surge Protector,Appliances,-16.89,Central,795,297.05,2012-05-21,Regular Air,6.32,Michigan,20.48,48127
Dearborn Heights,Kristina Nunn,Consumer,0.06,1,2012-05-20,5698,Medium,7,0.38,Office Supplies,Small Box,"#10 White Business Envelopes,4 1/8 x 9 1/2",Envelopes,25.51,Central,796,108.26,2012-05-21,Regular Air,1.39,Michigan,15.67,48127
Lancaster,Duane Huffman,Small Business,0.02,1,2012-05-20,20261,Medium,21,0.56,Technology,Small Box,Talkabout T8367,Telephones and Communication,168.237,Central,2809,1259.4535,2012-05-21,Express Air,8.99,Texas,65.99,75146
Rancho Cucamonga,Dave Poirier,Small Business,0.01,1,2012-05-20,2725,Not Specified,39,0.56,Technology,Small Box,5180,Telephones and Communication,396.972,West,395,2178.431,2012-05-21,Express Air,8.99,California,65.99,91730
Reno,Daniel Byrd,Home Office,0,1,2012-05-20,32355,Not Specified,50,0.37,Office Supplies,Small Box,Xerox 231,Paper,-33.31,West,4548,355.03,2012-05-22,Regular Air,5.11,Nevada,6.48,89502
Reno,Daniel Byrd,Home Office,0.01,1,2012-05-20,32355,Not Specified,34,0.38,Office Supplies,Small Box,Storex Dura Pro™ Binders,Binders and Binder Accessories,-239.315,West,4547,211.86,2012-05-23,Regular Air,9.92,Nevada,5.94,89502
Lancaster,Duane Huffman,Small Business,0.04,1,2012-05-20,20261,Medium,36,0.39,Office Supplies,Wrap Bag,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Paper,81.91,Central,2808,220.48,2012-05-23,Regular Air,1.02,Texas,6.35,75146
Butte,Lisa Ryan,Home Office,0.03,1,2012-05-21,31810,Critical,46,0.42,Furniture,Wrap Bag,"Master Caster Door Stop, Large Neon Orange",Office Furnishings,-166.74,West,4462,355.55,2012-05-21,Regular Air,7.98,Montana,7.28,59750
Newington,Astrea Jones,Corporate,0.04,1,2012-05-21,39040,Critical,7,0.83,Office Supplies,Wrap Bag,"Brites Rubber Bands, 1 1/2 oz. Box",Rubber Bands,-1,East,5504,19.36,2012-05-22,Express Air,0.7,Connecticut,1.98,6111
South Vineland,Bill Shonely,Small Business,0.03,1,2012-05-21,25472,High,40,0.36,Office Supplies,Wrap Bag,Rediform S.O.S. Phone Message Books,Paper,80.35,East,3570,194.02,2012-05-22,Regular Air,0.8,New Jersey,4.98,8360
Helena,Adam Bellavance,Small Business,0.08,1,2012-05-21,42949,Not Specified,40,0.37,Office Supplies,Wrap Bag,Advantus Plastic Paper Clips,Rubber Bands,-17.49,West,6062,202.11,2012-05-22,Regular Air,3.39,Montana,5,59601
Belleville,Astrea Jones,Corporate,0.03,1,2012-05-21,39040,Critical,26,0.83,Technology,Small Pack,Accessory36,Telephones and Communication,-221.254,East,5503,1204.5095,2012-05-22,Regular Air,5,New Jersey,55.99,7109
Twin Falls,Tim Brockman,Consumer,0.06,1,2012-05-21,23170,Not Specified,20,0.57,Furniture,Large Box,"Lifetime Advantage™ Folding Chairs, 4/Carton",Chairs & Chairmats,969.42,West,3229,4252.89,2012-05-23,Express Air,18.06,Idaho,218.08,83301
Channelview,Eugene Hildebrand,Home Office,0.04,1,2012-05-21,38726,Medium,44,0.36,Office Supplies,Small Box,Economy Binders,Binders and Binder Accessories,-11.2815,Central,5455,92.86,2012-05-23,Regular Air,1.49,Texas,2.08,77530
El Paso,Edward Becker,Home Office,0.02,1,2012-05-21,13735,Medium,36,0.36,Office Supplies,Small Box,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Envelopes,117.38,Central,1917,281.71,2012-05-23,Regular Air,1.39,Texas,7.64,79907
Missoula,Adam Bellavance,Small Business,0.07,1,2012-05-21,42949,Not Specified,49,0.39,Technology,Medium Box,Hewlett Packard 6S Scientific Calculator,Office Machines,-114.6399,West,6063,630.99,2012-05-23,Regular Air,9.44,Montana,12.99,59801
Walla Walla,Cyma Kinney,Small Business,0.09,1,2012-05-21,28069,Low,4,0.49,Office Supplies,Wrap Bag,Avery Hi-Liter® Smear-Safe Highlighters,Pens & Art Supplies,-2.87,West,3942,23.58,2012-05-25,Regular Air,0.83,Washington,5.84,99362
Walla Walla,Cyma Kinney,Small Business,0.02,1,2012-05-21,28069,Low,1,0.36,Office Supplies,Wrap Bag,Array® Memo Cubes,Paper,-4.09,West,3941,10.17,2012-05-26,Express Air,2.04,Washington,5.18,99362
Lindenhurst,Mathew Reese,Small Business,0.1,1,2012-05-22,57666,Not Specified,44,0.78,Office Supplies,Jumbo Drum,"Tennsco Lockers, Gray",Storage & Organization,-2111.36,East,8084,941.99,2012-05-22,Delivery Truck,53.03,New York,20.98,11757
Lewisville,Eudokia Martin,Home Office,0.03,1,2012-05-22,46853,Low,22,0.51,Technology,Small Box,Hayes Optima 56K V.90 Internal Voice Modem,Computer Peripherals,1489.8,Central,6581,5648.69,2012-05-22,Regular Air,11.25,Texas,256.99,75057
Aurora,Eugene Moren,Home Office,0.01,1,2012-05-22,834,Medium,15,0.4,Technology,Jumbo Drum,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Office Machines,-164.3952,West,131,1813.04,2012-05-23,Delivery Truck,56.14,Colorado,115.99,80013
Las Cruces,Mitch Gastineau,Small Business,0.1,1,2012-05-22,22818,Critical,50,0.78,Furniture,Jumbo Drum,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Chairs & Chairmats,-592.43,West,3171,6277.75,2012-05-24,Delivery Truck,30,New Mexico,130.98,88001
Bullhead City,Quincy Jones,Corporate,0.06,1,2012-05-22,25509,Critical,43,0.37,Office Supplies,Small Box,Cardinal Holdit Business Card Pockets,Binders and Binder Accessories,-103.224,West,3580,212.28,2012-05-24,Regular Air,4.95,Arizona,4.98,86442
Lindenhurst,Mathew Reese,Small Business,0.03,1,2012-05-22,57666,Not Specified,45,0.57,Office Supplies,Small Pack,Boston 1799 Powerhouse™ Electric Pencil Sharpener,Pens & Art Supplies,304.2,East,8083,1206.15,2012-05-25,Regular Air,4.08,New York,25.98,11757
Las Cruces,Mitch Gastineau,Small Business,0.08,1,2012-05-22,22818,Low,19,0.68,Technology,Small Box,Belkin 105-Key Black Keyboard,Computer Peripherals,-53.82,West,3172,360.24,2012-05-26,Regular Air,4,New Mexico,19.98,88001
Spanish Fork,Emily Grady,Home Office,0.07,1,2012-05-23,10663,High,40,0.39,Office Supplies,Small Box,Avery 494,Labels,38.45,West,1484,104.39,2012-05-23,Regular Air,0.5,Utah,2.61,84660
Annapolis,Tom Stivers,Corporate,0.03,1,2012-05-23,55908,High,44,0.36,Office Supplies,Small Box,"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",Binders and Binder Accessories,807.381,East,7820,1844.97,2012-05-24,Regular Air,2.99,Maryland,42.8,21403
Janesville,Nathan Gelder,Home Office,0.08,1,2012-05-23,19431,Not Specified,4,0.57,Office Supplies,Wrap Bag,Newell 31,Pens & Art Supplies,-5.54,Central,2687,16.82,2012-05-25,Regular Air,1.17,Wisconsin,4.13,53545
Olive Branch,Justin Ellison,Home Office,0,1,2012-05-23,26758,Not Specified,37,0.56,Office Supplies,Wrap Bag,Newell 340,Pens & Art Supplies,17,South,3747,108.33,2012-05-25,Regular Air,0.7,Mississippi,2.88,38654
Olive Branch,Justin Ellison,Home Office,0.09,1,2012-05-23,26758,Not Specified,46,0.76,Technology,Small Box,Micro Innovations Media Access Pro Keyboard,Computer Peripherals,315.33,South,3746,3519.12,2012-05-25,Express Air,4,Mississippi,77.51,38654
Hilliard,Stuart Calhoun,Consumer,0.02,1,2012-05-24,23205,High,26,0.75,Furniture,Jumbo Box,Bevis Boat-Shaped Conference Table,Tables,-633.441237,East,3237,7208.8,2012-05-25,Delivery Truck,62.74,Ohio,262.11,43026
Huntsville,Nancy Lomonaco,Home Office,0.05,1,2012-05-24,5760,Not Specified,34,0.55,Furniture,Jumbo Drum,"Global Airflow Leather Mesh Back Chair, Black",Chairs & Chairmats,650.3,Central,802,5261.73,2012-05-25,Delivery Truck,43.71,Texas,150.98,77340
South Lake Tahoe,Harold Dahlen,Consumer,0.1,1,2012-05-24,41091,Medium,32,0.57,Furniture,Large Box,"Lifetime Advantage™ Folding Chairs, 4/Carton",Chairs & Chairmats,1318.83,West,5793,6310.69,2012-05-25,Express Air,18.06,California,218.08,96150
Hilliard,Stuart Calhoun,Consumer,0.08,1,2012-05-24,23205,High,8,0.6,Office Supplies,Small Box,Kensington 6 Outlet SmartSocket Surge Protector,Appliances,-16.64,East,3235,319.62,2012-05-25,Express Air,7.2,Ohio,40.98,43026
Hilliard,Stuart Calhoun,Consumer,0.08,1,2012-05-24,23205,High,32,0.77,Technology,Small Pack,"Imation Neon Mac Format Diskettes, 10/Pack",Computer Peripherals,-59.73,East,3236,263.39,2012-05-25,Express Air,2.83,Ohio,8.12,43026
Troy,Vivek Grady,Home Office,0.02,1,2012-05-24,12516,Low,22,0.37,Office Supplies,Small Box,Xerox 231,Paper,-23.53,East,1750,154.6,2012-05-28,Regular Air,5.11,Ohio,6.48,45373
Troy,Vivek Grady,Home Office,0.1,1,2012-05-24,12516,Low,31,0.37,Technology,Jumbo Drum,Lexmark Z25 Color Inkjet Printer,Office Machines,66.22,East,1749,2360.43,2012-05-29,Delivery Truck,33.6,Ohio,80.97,45373
Surprise,Dianna Vittorini,Corporate,0.08,1,2012-05-25,59072,Not Specified,22,0.39,Office Supplies,Small Box,Xerox 1883,Paper,175.03,West,8260,576.89,2012-05-26,Regular Air,5.58,Arizona,26.38,85374
Oceanside,Mitch Webber,Corporate,0.06,1,2012-05-25,39335,Not Specified,24,0.72,Technology,Small Pack,"Imation Primaris 3.5"" 2HD Unformatted Diskettes, 10/Pack",Computer Peripherals,-45.64,East,5557,113.23,2012-05-26,Regular Air,2.39,New York,4.77,11572
Surprise,Dianna Vittorini,Corporate,0.03,1,2012-05-25,59072,Not Specified,12,0.36,Office Supplies,Small Box,Wilson Jones Custom Binder Spines & Labels,Binders and Binder Accessories,-51.704,West,8259,78.94,2012-05-27,Express Air,7.46,Arizona,5.44,85374
Edmonds,Ruben Dartt,Corporate,0.08,1,2012-05-25,9476,Not Specified,10,0.37,Office Supplies,Small Box,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,-66.585,West,1293,165.04,2012-05-27,Express Air,13.18,Washington,15.99,98026
Bakersfield,Peter Buhler,Consumer,0.06,1,2012-05-25,6880,Medium,5,0.37,Office Supplies,Small Box,Xerox 1938,Paper,21.78,West,949,235.49,2012-05-27,Regular Air,5.86,California,47.9,93309
Oceanside,Mitch Webber,Corporate,0.1,1,2012-05-25,39335,Not Specified,34,0.38,Office Supplies,Small Box,"Tyvek ® Top-Opening Peel & Seel Envelopes, Plain White",Envelopes,204.49,East,5558,889.84,2012-05-27,Regular Air,8.23,New York,27.18,11572
Gorham,Denise Leinenbach,Home Office,0.01,1,2012-05-25,3589,High,23,0.37,Office Supplies,Small Box,Self-Adhesive Removable Labels,Labels,28.55,East,529,72.93,2012-05-27,Regular Air,0.49,Maine,3.15,4038
Granite Bay,Tracy Hopkins,Small Business,0.08,1,2012-05-25,25445,Low,48,0.35,Office Supplies,Small Box,Surelock™ Post Binders,Binders and Binder Accessories,617.0575,West,3567,1444,2012-05-27,Regular Air,2.99,California,30.56,95746
Surprise,Dianna Vittorini,Corporate,0,1,2012-05-25,59072,Not Specified,38,0.58,Technology,Small Box,V2397,Telephones and Communication,1286.532,West,8262,4191.5625,2012-05-27,Regular Air,2.5,Arizona,125.99,85374
Surprise,Dianna Vittorini,Corporate,0.06,1,2012-05-25,59072,Not Specified,2,0.81,Technology,Wrap Bag,Accessory37,Telephones and Communication,-112.189,West,8261,35.666,2012-05-27,Regular Air,2.5,Arizona,20.99,85374
Mesa,Bruce Degenhardt,Home Office,0.09,1,2012-05-25,29637,High,34,0.4,Technology,Medium Box,Canon P1-DHIII Palm Printing Calculator,Office Machines,-6.612,West,4176,598.19,2012-05-27,Regular Air,8.51,Arizona,17.98,85204
Grand Junction,Anthony Rawles,Small Business,0.02,1,2012-05-26,51815,Low,21,0.59,Technology,Small Box,270c,Telephones and Communication,398.358,West,7265,2292.1015,2012-05-26,Regular Air,3,Colorado,125.99,81503
Longview,Tonja Turnell,Consumer,0.01,1,2012-05-26,5222,Not Specified,40,,Furniture,Jumbo Drum,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Tables,4503.63,West,728,14451.75,2012-05-27,Delivery Truck,60,Washington,349.45,98632
Kirkwood,Meg O'Connel,Corporate,0.01,1,2012-05-26,57153,Critical,45,0.38,Office Supplies,Small Box,"#10 White Business Envelopes,4 1/8 x 9 1/2",Envelopes,336.25,Central,7997,698.1,2012-05-27,Regular Air,1.39,MO,15.67,63122
Morristown,Sara Luxemburg,Small Business,0.05,1,2012-05-26,39426,Critical,21,0.39,Office Supplies,Wrap Bag,Staples Metal Binder Clips,Rubber Bands,12.71,East,5567,56.21,2012-05-27,Regular Air,0.8,New Jersey,2.62,7960
Kirkwood,Meg O'Connel,Corporate,0.02,1,2012-05-26,57153,Critical,9,0.42,Office Supplies,Medium Box,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",Appliances,-14.52,Central,7996,106.05,2012-05-28,Regular Air,6.12,MO,11.33,63122
Grand Junction,Anthony Rawles,Small Business,0.01,1,2012-05-26,51815,Low,37,0.38,Office Supplies,Small Box,Storex Dura Pro™ Binders,Binders and Binder Accessories,-256.519,West,7264,227.5,2012-06-02,Regular Air,9.92,Colorado,5.94,81503
East Chicago,Dan Reichenbach,Corporate,0.03,1,2012-05-27,23076,Critical,50,0.46,Furniture,Wrap Bag,Coloredge Poster Frame,Office Furnishings,122.21,Central,3214,742.21,2012-05-28,Regular Air,5.3,Indiana,14.2,46312
Los Altos,Brad Thomas,Home Office,0.04,1,2012-05-27,22402,Critical,33,0.35,Office Supplies,Small Box,Vinyl Sectional Post Binders,Binders and Binder Accessories,497.114,West,3117,1194.34,2012-05-28,Regular Air,2.99,California,37.7,94024
Los Banos,Brad Thomas,Home Office,0.01,1,2012-05-27,22402,Critical,1,0.83,Technology,Small Pack,Accessory36,Telephones and Communication,-235.895,West,3118,51.833,2012-05-28,Regular Air,5,California,55.99,93635
Everett,Berenike Kampe,Corporate,0.05,1,2012-05-27,17408,Not Specified,26,0.37,Office Supplies,Small Box,3M Organizer Strips,Binders and Binder Accessories,-132.6295,East,2400,149.7,2012-05-29,Express Air,7.78,MA,5.4,2149
Lewiston,Berenike Kampe,Corporate,0.02,1,2012-05-27,17408,Not Specified,41,0.58,Technology,Medium Box,1726 Digital Answering Machine,Telephones and Communication,49.788,East,2401,728.127,2012-05-29,Regular Air,4.81,Maine,20.99,4240
Smithtown,Aaron Smayling,Small Business,0.01,1,2012-05-28,21190,Medium,28,0.4,Office Supplies,Small Box,"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",Envelopes,401.8,East,2925,1062.69,2012-05-28,Regular Air,6.66,New York,35.94,11787
Rome,Sheri Gordon,Corporate,0.03,1,2012-05-28,56486,Critical,11,0.4,Office Supplies,Small Box,Xerox 1947,Paper,-23.5,East,7898,73.62,2012-05-29,Regular Air,5.35,New York,5.98,13440
Ellicott City,Ralph Arnett,Consumer,0,1,2012-05-28,6464,Medium,42,0.74,Furniture,Medium Box,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Office Furnishings,-1014.11,East,899,3991.99,2012-05-30,Regular Air,56.2,Maryland,90.98,21042
Ellicott City,Ralph Arnett,Consumer,0.07,1,2012-05-28,6464,Medium,1,0.56,Office Supplies,Small Box,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,Appliances,-41.77,East,898,57.84,2012-05-30,Regular Air,4.5,Maryland,60.97,21042
Saint Petersburg,Tanja Norvell,Consumer,0.03,1,2012-05-28,16225,Critical,30,0.59,Office Supplies,Small Box,Portfile® Personal File Boxes,Storage & Organization,-82.5,South,2253,550.29,2012-05-30,Regular Air,9.47,Florida,17.7,33710
Lindenwold,Rick Duston,Corporate,0.03,1,2012-05-28,58337,Low,18,0.56,Office Supplies,Wrap Bag,"Dixon My First Ticonderoga Pencil, #2",Pens & Art Supplies,-5.08,East,8156,106.45,2012-05-30,Regular Air,2.27,New Jersey,5.85,8021
Roswell,Mitch Willingham,Corporate,0.02,1,2012-05-29,1895,Medium,5,0.37,Office Supplies,Small Box,Xerox 216,Paper,-23.25,South,277,41.25,2012-05-31,Regular Air,7.91,Georgia,6.48,30076
Newnan,John Dryer,Corporate,0.01,1,2012-05-29,50501,High,31,0.38,Technology,Medium Box,TI 36X Solar Scientific Calculator,Office Machines,227.59,South,7078,801.45,2012-05-31,Regular Air,6.3,Georgia,23.99,30265
Quincy,Claudia Miner,Small Business,0,1,2012-05-29,22342,Low,13,0.81,Technology,Small Pack,Accessory39,Telephones and Communication,-92.961,Central,3110,241.706,2012-06-05,Regular Air,3.3,Illinois,20.99,62301
Moline,Susan Vittorini,Home Office,0.05,1,2012-05-30,50374,Not Specified,30,0.35,Office Supplies,Small Box,GBC VeloBinder Electric Binding Machine,Binders and Binder Accessories,1443.351,Central,7060,3482.41,2012-05-31,Regular Air,9.07,Illinois,120.98,61265
Melrose Park,Susan Vittorini,Home Office,0.05,1,2012-05-30,42981,Critical,4,0.38,Office Supplies,Small Box,GBC DocuBind TL300 Electric Binding System,Binders and Binder Accessories,232.441,Central,6067,3510.82,2012-06-01,Regular Air,19.99,Illinois,896.99,60160
Dunedin,Julie Kriz,Corporate,0.08,1,2012-06-01,35461,Critical,11,0.39,Office Supplies,Small Box,Avery Non-Stick Binders,Binders and Binder Accessories,3.502,South,4985,48.75,2012-06-01,Regular Air,1.49,Florida,4.49,34698
Newark,Robert Marley,Corporate,0.05,1,2012-06-01,42851,High,4,0.8,Office Supplies,Wrap Bag,Plymouth Boxed Rubber Bands by Plymouth,Rubber Bands,-2.97,East,6044,24.32,2012-06-02,Express Air,0.7,Ohio,4.71,43055
Lino Lakes,Nathan Mautz,Corporate,0.09,1,2012-06-01,52487,Critical,17,0.38,Office Supplies,Small Box,Staples #10 Colored Envelopes,Envelopes,15.74,Central,7366,124.06,2012-06-02,Regular Air,2.5,Minnesota,7.78,55014
Dunedin,Julie Kriz,Corporate,0.04,1,2012-06-01,35461,Critical,30,0.83,Office Supplies,Wrap Bag,"*Staples* vLetter Openers, 2/Pack","Scissors, Rulers and Trimmers",-25.99,South,4986,112.6,2012-06-02,Regular Air,1.32,Florida,3.68,34698
Rutland,Raymond Fair,Small Business,0.03,1,2012-06-01,5639,Medium,31,0.57,Office Supplies,Small Box,Eldon Jumbo ProFile™ Portable File Boxes Graphite/Black,Storage & Organization,-71.95,East,790,501.38,2012-06-02,Regular Air,8.78,Vermont,15.31,5701
Newark,Robert Marley,Corporate,0.04,1,2012-06-01,42851,High,7,0.35,Technology,Small Pack,Accessory32,Telephones and Communication,-22.902,East,6045,344.301,2012-06-02,Express Air,1.25,Ohio,55.99,43055
